========================================================================================================================
Training started at: 2026-04-07 06:43:22
Result directory: results/fl_cifar100/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.001
Result txt file : results/fl_cifar100/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.001/fedprox_fl_cifar100_20260407-064322-282931_pid4179823.txt
Result log file : results/fl_cifar100/fedprox/pm-dir_a-0.3_nm-uni_nr-0.3_nt-symmetric_mu-0.001/fedprox_fl_cifar100_20260407-064322-282931_pid4179823.log
------------------------------------------------------------------------------------------------------------------------
Model: fedprox
Dataset: fl_cifar100
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 210
Local epoch: 1
Local batch size: 64
Local lr: 0.1
Partition mode: dirichlet
Dirichlet alpha: 0.3
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedProx mu: 0.001
========================================================================================================================
[Round 082/210] Phase=standard | Stage=warmup | Acc=48.950 | RoundTime=35.19s | TotalTime=2897.61s | Method=fedprox
[Round 083/210] Phase=standard | Stage=warmup | Acc=48.800 | RoundTime=35.52s | TotalTime=2933.14s | Method=fedprox
[Round 084/210] Phase=standard | Stage=warmup | Acc=49.580 | RoundTime=35.64s | TotalTime=2968.80s | Method=fedprox
[Round 085/210] Phase=standard | Stage=warmup | Acc=49.290 | RoundTime=35.49s | TotalTime=3004.29s | Method=fedprox
[Round 086/210] Phase=standard | Stage=warmup | Acc=49.910 | RoundTime=35.46s | TotalTime=3039.76s | Method=fedprox
[Round 087/210] Phase=standard | Stage=warmup | Acc=49.910 | RoundTime=35.49s | TotalTime=3075.26s | Method=fedprox
[Round 088/210] Phase=standard | Stage=warmup | Acc=50.290 | RoundTime=35.42s | TotalTime=3110.69s | Method=fedprox
[Round 089/210] Phase=standard | Stage=warmup | Acc=50.120 | RoundTime=35.51s | TotalTime=3146.21s | Method=fedprox
[Round 090/210] Phase=standard | Stage=warmup | Acc=50.310 | RoundTime=36.02s | TotalTime=3182.24s | Method=fedprox
[Round 091/210] Phase=standard | Stage=warmup | Acc=50.840 | RoundTime=35.52s | TotalTime=3217.77s | Method=fedprox
[Round 092/210] Phase=standard | Stage=warmup | Acc=50.630 | RoundTime=33.44s | TotalTime=3251.22s | Method=fedprox
[Round 093/210] Phase=standard | Stage=warmup | Acc=50.840 | RoundTime=35.61s | TotalTime=3286.84s | Method=fedprox
[Round 094/210] Phase=standard | Stage=warmup | Acc=50.650 | RoundTime=36.53s | TotalTime=3323.39s | Method=fedprox
[Round 095/210] Phase=standard | Stage=warmup | Acc=51.020 | RoundTime=35.13s | TotalTime=3358.53s | Method=fedprox
[Round 096/210] Phase=standard | Stage=warmup | Acc=51.100 | RoundTime=35.64s | TotalTime=3394.18s | Method=fedprox
[Round 097/210] Phase=standard | Stage=warmup | Acc=51.220 | RoundTime=35.36s | TotalTime=3429.56s | Method=fedprox
[Round 098/210] Phase=standard | Stage=warmup | Acc=51.470 | RoundTime=35.00s | TotalTime=3464.57s | Method=fedprox
