========================================================================================================================
Training started at: 2026-04-09 07:01:56
Result directory: results/fl_mnist/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_rho-0.05_beta-1.0_slr-1.0
Result txt file : results/fl_mnist/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_mnist_20260409-070156-656617_pid4009500.txt
Result log file : results/fl_mnist/fedgloss/pm-dir_a-0.8_nm-uni_nr-0.3_nt-symmetric_rho-0.05_beta-1.0_slr-1.0/fedgloss_fl_mnist_20260409-070156-656617_pid4009500.log
------------------------------------------------------------------------------------------------------------------------
Model: fedgloss
Dataset: fl_mnist
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 210
Local epoch: 1
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.8
Noise mode: uniform
Noise rate: 0.3
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
FedGLoSS rho: 0.05
FedGLoSS beta: 1.0
FedGLoSS server lr: 1.0
========================================================================================================================
[Round 073/210] Phase=standard | Stage=warmup | Acc=99.220 | RoundTime=31.88s | TotalTime=2266.17s | Method=fedgloss
[Round 074/210] Phase=standard | Stage=warmup | Acc=99.130 | RoundTime=31.59s | TotalTime=2297.77s | Method=fedgloss
[Round 075/210] Phase=standard | Stage=warmup | Acc=99.150 | RoundTime=31.19s | TotalTime=2328.97s | Method=fedgloss
[Round 076/210] Phase=standard | Stage=warmup | Acc=99.180 | RoundTime=30.58s | TotalTime=2359.56s | Method=fedgloss
[Round 077/210] Phase=standard | Stage=warmup | Acc=99.040 | RoundTime=31.04s | TotalTime=2390.60s | Method=fedgloss
[Round 078/210] Phase=standard | Stage=warmup | Acc=99.090 | RoundTime=30.16s | TotalTime=2420.78s | Method=fedgloss
[Round 079/210] Phase=standard | Stage=warmup | Acc=99.060 | RoundTime=30.60s | TotalTime=2451.39s | Method=fedgloss
[Round 080/210] Phase=standard | Stage=warmup | Acc=99.030 | RoundTime=30.26s | TotalTime=2481.66s | Method=fedgloss
[Round 081/210] Phase=standard | Stage=warmup | Acc=98.980 | RoundTime=32.11s | TotalTime=2513.78s | Method=fedgloss
[Round 082/210] Phase=standard | Stage=warmup | Acc=99.070 | RoundTime=30.01s | TotalTime=2544.12s | Method=fedgloss
[Round 083/210] Phase=standard | Stage=warmup | Acc=98.960 | RoundTime=31.22s | TotalTime=2575.35s | Method=fedgloss
[Round 084/210] Phase=standard | Stage=warmup | Acc=99.050 | RoundTime=30.89s | TotalTime=2606.25s | Method=fedgloss
[Round 085/210] Phase=standard | Stage=warmup | Acc=99.120 | RoundTime=31.62s | TotalTime=2637.88s | Method=fedgloss
