========================================================================================================================
Training started at: 2026-04-09 07:38:31
Result directory: results/fl_svhn/fedavg/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric
Result txt file : results/fl_svhn/fedavg/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric/fedavg_fl_svhn_20260409-073831-710567_pid142859.txt
Result log file : results/fl_svhn/fedavg/pm-dir_a-0.5_nm-uni_nr-0.5_nt-symmetric/fedavg_fl_svhn_20260409-073831-710567_pid142859.log
------------------------------------------------------------------------------------------------------------------------
Model: fedavg
Dataset: fl_svhn
Structure: homogeneity
Participants: 10
Online ratio: 1.0
Communication epochs: 100
Local epoch: 5
Local batch size: 64
Local lr: 0.01
Partition mode: dirichlet
Dirichlet alpha: 0.5
Noise mode: uniform
Noise rate: 0.5
Noise type: symmetric
Noise max: 0.3
Averaging: weight
Seed: 0
========================================================================================================================
[Round 077/100] Phase=standard | Stage=warmup | Acc=45.390 | RoundTime=230.89s | TotalTime=17891.97s | Method=fedavg
[Round 078/100] Phase=standard | Stage=warmup | Acc=45.200 | RoundTime=235.86s | TotalTime=18127.85s | Method=fedavg
[Round 079/100] Phase=standard | Stage=warmup | Acc=45.230 | RoundTime=230.75s | TotalTime=18358.61s | Method=fedavg
[Round 080/100] Phase=standard | Stage=warmup | Acc=45.080 | RoundTime=231.93s | TotalTime=18590.56s | Method=fedavg
[Round 081/100] Phase=standard | Stage=warmup | Acc=44.740 | RoundTime=232.55s | TotalTime=18823.12s | Method=fedavg
[Round 082/100] Phase=standard | Stage=warmup | Acc=44.860 | RoundTime=232.92s | TotalTime=19056.05s | Method=fedavg
[Round 083/100] Phase=standard | Stage=warmup | Acc=45.130 | RoundTime=234.12s | TotalTime=19290.26s | Method=fedavg
[Round 084/100] Phase=standard | Stage=warmup | Acc=45.630 | RoundTime=232.57s | TotalTime=19522.87s | Method=fedavg
[Round 085/100] Phase=standard | Stage=warmup | Acc=45.300 | RoundTime=233.96s | TotalTime=19756.84s | Method=fedavg
[Round 086/100] Phase=standard | Stage=warmup | Acc=45.160 | RoundTime=232.54s | TotalTime=19989.39s | Method=fedavg
[Round 087/100] Phase=standard | Stage=warmup | Acc=45.170 | RoundTime=231.93s | TotalTime=20221.33s | Method=fedavg
[Round 088/100] Phase=standard | Stage=warmup | Acc=45.580 | RoundTime=233.60s | TotalTime=20454.94s | Method=fedavg
[Round 089/100] Phase=standard | Stage=warmup | Acc=46.220 | RoundTime=226.43s | TotalTime=20681.39s | Method=fedavg
[Round 090/100] Phase=standard | Stage=warmup | Acc=45.940 | RoundTime=234.42s | TotalTime=20915.82s | Method=fedavg
[Round 091/100] Phase=standard | Stage=warmup | Acc=45.520 | RoundTime=233.64s | TotalTime=21149.48s | Method=fedavg
[Round 092/100] Phase=standard | Stage=warmup | Acc=46.000 | RoundTime=233.93s | TotalTime=21383.42s | Method=fedavg
[Round 093/100] Phase=standard | Stage=warmup | Acc=45.680 | RoundTime=234.99s | TotalTime=21618.43s | Method=fedavg
[Round 094/100] Phase=standard | Stage=warmup | Acc=45.710 | RoundTime=232.51s | TotalTime=21850.98s | Method=fedavg
[Round 095/100] Phase=standard | Stage=warmup | Acc=45.710 | RoundTime=233.81s | TotalTime=22084.79s | Method=fedavg
[Round 096/100] Phase=standard | Stage=warmup | Acc=45.380 | RoundTime=232.39s | TotalTime=22317.19s | Method=fedavg
[Round 097/100] Phase=standard | Stage=warmup | Acc=46.000 | RoundTime=232.55s | TotalTime=22549.75s | Method=fedavg
[Round 098/100] Phase=standard | Stage=warmup | Acc=46.020 | RoundTime=234.73s | TotalTime=22784.49s | Method=fedavg
